0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:11:13 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:12:18 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:12:18 +0530] "GET /webProject/style.css HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:12:18 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:12:27 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:12:27 +0530] "GET /webProject/style.css HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:12:27 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:12:44 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:12:44 +0530] "GET /webProject/style.css HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:12:44 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:13:00 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:13:00 +0530] "GET /webProject/style.css HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:13:00 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:13:13 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:13:13 +0530] "GET /webProject/style.css HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:13:13 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:13:40 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:13:40 +0530] "GET /webProject/style.css HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:13:40 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:13:41 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:13:41 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:13:41 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:14:23 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:14:23 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:14:23 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:14:47 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:14:47 +0530] "GET /webProject/style.css HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:14:47 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
